X_true, y_true
36+93, 129
37+14, 51
37+24, 61
37+31, 68
37+34, 71
37+38, 75
37+44, 81
37+47, 84
37+48, 85
37+54, 91
37+56, 93
37+62, 99
37+64, 101
37+72, 109
37+82, 119
38+1, 39
38+13, 51
38+23, 61
38+29, 67
38+31, 69
38+33, 71
38+37, 75
38+43, 81
38+47, 85
38+53, 91
38+61, 99
38+63, 101
38+71, 109
38+81, 119
38+95, 133
38+97, 135
39+0, 39
39+12, 51
39+22, 61
39+28, 67
39+31, 70
39+32, 71
39+36, 75
39+41, 80
39+42, 81
39+46, 85
39+52, 91
39+60, 99
39+62, 101
39+70, 109
39+80, 119
39+90, 129
39+96, 135
40+11, 51
40+17, 57
40+20, 60
40+21, 61
40+27, 67
40+29, 69
40+30, 70
40+37, 77
40+40, 80
40+45, 85
40+50, 90
40+53, 93
40+55, 95
40+58, 98
40+61, 101
40+62, 102
40+69, 109
40+79, 119
40+89, 129
40+99, 139
41+17, 58
41+19, 60
41+26, 67
41+27, 68
41+28, 69
41+36, 77
41+39, 80
41+42, 83
41+43, 84
41+44, 85
41+49, 90
41+52, 93
41+54, 95
41+58, 99
41+60, 101
41+61, 102
41+68, 109
41+78, 119
41+88, 129
41+98, 139
42+9, 51
42+15, 57
42+19, 61
42+25, 67
42+35, 77
42+38, 80
42+43, 85
42+48, 90
42+50, 92
42+53, 95
42+55, 97
42+56, 98
42+57, 99
42+60, 102
42+67, 109
42+77, 119
42+87, 129
42+97, 139
43+8, 51
43+18, 61
43+24, 67
43+28, 71
43+31, 74
43+32, 75
43+38, 81
43+42, 85
43+47, 90
43+48, 91
43+50, 93
43+52, 95
43+54, 97
43+59, 102
43+66, 109
43+76, 119
43+86, 129
43+96, 139
44+7, 51
44+17, 61
44+23, 67
44+27, 71
44+31, 75
44+33, 77
44+37, 81
44+39, 83
44+47, 91
44+48, 92
44+49, 93
44+53, 97
44+58, 102
44+59, 103
44+65, 109
44+75, 119
44+76, 120
44+85, 129
44+89, 133
44+98, 142
44+99, 143
45+6, 51
45+16, 61
45+22, 67
45+26, 71
45+30, 75
45+36, 81
45+38, 83
45+40, 85
45+46, 91
45+48, 93
45+50, 95
45+52, 97
45+53, 98
45+57, 102
45+58, 103
45+64, 109
45+74, 119
45+75, 120
45+84, 129
45+88, 133
45+97, 142
46+5, 51
46+15, 61
46+21, 67
46+25, 71
46+31, 77
46+35, 81
46+39, 85
46+45, 91
46+49, 95
46+52, 98
46+55, 101
46+56, 102
46+63, 109
46+73, 119
46+89, 135
46+93, 139
46+96, 142
46+99, 145
47+4, 51
47+14, 61
47+24, 71
47+30, 77
47+34, 81
47+38, 85
47+44, 91
47+48, 95
47+51, 98
47+54, 101
47+62, 109
47+72, 119
47+95, 142
47+96, 143
48+3, 51
48+13, 61
48+19, 67
48+23, 71
48+29, 77
48+33, 81
48+37, 85
48+43, 91
48+47, 95
48+50, 98
48+53, 101
48+61, 109
48+71, 119
48+94, 142
48+95, 143
49+2, 51
49+12, 61
49+18, 67
49+20, 69
49+22, 71
49+28, 77
49+32, 81
49+41, 90
49+42, 91
49+49, 98
49+60, 109
49+70, 119
49+78, 127
49+90, 139
49+98, 147
50+10, 60
50+11, 61
50+17, 67
50+19, 69
50+20, 70
50+27, 77
50+30, 80
50+33, 83
50+34, 84
50+35, 85
50+40, 90
50+41, 91
50+43, 93
50+45, 95
50+48, 98
50+51, 101
50+52, 102
50+59, 109
50+69, 119
50+70, 120
50+79, 129
50+89, 139
50+92, 142
50+95, 145
50+97, 147
50+98, 148
50+99, 149
51+18, 69
51+24, 75
51+29, 80
51+40, 91
51+51, 102
51+58, 109
51+68, 119
51+69, 120
51+78, 129
51+88, 139
51+91, 142
51+92, 143
51+93, 144
51+98, 149
51+99, 150
52+5, 57
52+9, 61
52+15, 67
52+16, 68
52+17, 69
52+22, 74
52+23, 75
52+25, 77
52+28, 80
52+39, 91
52+43, 95
52+46, 98
52+47, 99
52+50, 102
52+57, 109
52+67, 119
52+68, 120
52+77, 129
52+87, 139
52+97, 149
53+4, 57
53+8, 61
53+14, 67
53+21, 74
53+22, 75
53+24, 77
53+28, 81
53+38, 91
53+40, 93
53+42, 95
53+44, 97
53+45, 98
53+49, 102
53+56, 109
53+66, 119
53+67, 120
53+76, 129
53+86, 139
53+90, 143
53+96, 149
54+7, 61
54+13, 67
54+21, 75
54+23, 77
54+27, 81
54+37, 91
54+39, 93
54+43, 97
54+48, 102
54+55, 109
54+65, 119
54+66, 120
54+75, 129
54+85, 139
54+88, 142
54+89, 143
54+95, 149
54+99, 153
55+6, 61
55+12, 67
55+16, 71
55+26, 81
55+36, 91
55+38, 93
55+42, 97
55+46, 101
55+47, 102
55+54, 109
55+64, 119
55+65, 120
55+68, 123
55+74, 129
55+84, 139
55+87, 142
55+88, 143
55+90, 145
55+94, 149
56+5, 61
56+11, 67
56+15, 71
56+21, 77
56+25, 81
56+29, 85
56+35, 91
56+45, 101
56+46, 102
56+53, 109
56+63, 119
56+64, 120
56+67, 123
56+79, 135
56+83, 139
56+86, 142
56+87, 143
56+96, 152
57+4, 61
57+14, 71
57+24, 81
57+28, 85
57+34, 91
57+41, 98
57+44, 101
57+52, 109
57+62, 119
57+68, 125
57+78, 135
57+85, 142
57+86, 143
57+88, 145
57+90, 147
57+96, 153
58+3, 61
58+9, 67
58+13, 71
58+19, 77
58+23, 81
58+26, 84
58+27, 85
58+33, 91
58+40, 98
58+43, 101
58+51, 109
58+61, 119
58+62, 120
58+67, 125
58+75, 133
58+77, 135
58+84, 142
58+85, 143
58+94, 152
58+96, 154
58+97, 155
59+2, 61
59+8, 67
59+12, 71
59+16, 75
59+18, 77
59+22, 81
59+25, 84
59+26, 85
59+32, 91
59+39, 98
59+42, 101
59+50, 109
59+60, 119
59+70, 129
59+76, 135
59+80, 139
59+83, 142
59+86, 145
59+90, 149
59+94, 153
59+95, 154
60+0, 60
60+10, 70
60+17, 77
60+20, 80
60+23, 83
60+24, 84
60+25, 85
60+31, 91
60+38, 98
60+41, 101
60+42, 102
60+49, 109
60+59, 119
60+60, 120
60+69, 129
60+79, 139
60+82, 142
60+85, 145
60+89, 149
60+94, 154
60+99, 159
61+8, 69
61+19, 80
61+30, 91
61+41, 102
61+48, 109
61+59, 120
61+68, 129
61+78, 139
61+81, 142
61+82, 143
61+83, 144
61+88, 149
61+89, 150
61+98, 159
62+5, 67
62+9, 71
62+13, 75
62+15, 77
62+18, 80
62+29, 91
62+36, 98
62+40, 102
62+47, 109
62+57, 119
62+58, 120
62+67, 129
62+77, 139
62+87, 149
62+97, 159
63+4, 67
63+8, 71
63+11, 74
63+12, 75
63+14, 77
63+17, 80
63+28, 91
63+35, 98
63+38, 101
63+39, 102
63+46, 109
63+56, 119
63+57, 120
63+66, 129
63+76, 139
63+80, 143
63+84, 147
63+86, 149
63+96, 159
63+99, 162
64+3, 67
64+7, 71
64+10, 74
64+11, 75
64+13, 77
64+17, 81
64+21, 85
64+27, 91
64+33, 97
64+34, 98
64+37, 101
64+38, 102
64+45, 109
64+55, 119
64+56, 120
64+65, 129
64+75, 139
64+85, 149
64+95, 159
64+99, 163
65+6, 71
65+10, 75
65+16, 81
65+20, 85
65+26, 91
65+32, 97
65+33, 98
65+36, 101
65+37, 102
65+44, 109
65+54, 119
65+55, 120
65+58, 123
65+64, 129
65+74, 139
65+77, 142
65+80, 145
65+84, 149
65+89, 154
65+94, 159
65+97, 162
66+5, 71
66+11, 77
66+15, 81
66+25, 91
66+29, 95
66+31, 97
66+35, 101
66+43, 109
66+53, 119
66+73, 139
66+76, 142
66+77, 143
66+79, 145
66+89, 155
66+93, 159
66+96, 162
67+10, 77
67+14, 81
67+24, 91
67+31, 98
67+34, 101
67+42, 109
67+52, 119
67+58, 125
67+68, 135
67+75, 142
67+76, 143
67+78, 145
67+80, 147
67+86, 153
67+92, 159
67+95, 162
67+96, 163
68+13, 81
68+23, 91
68+30, 98
68+33, 101
68+41, 109
68+51, 119
68+57, 125
68+67, 135
68+74, 142
68+75, 143
68+77, 145
68+80, 148
68+85, 153
68+86, 154
68+87, 155
68+94, 162
68+95, 163
69+6, 75
69+12, 81
69+15, 84
69+16, 85
69+22, 91
69+29, 98
69+32, 101
69+40, 109
69+50, 119
69+70, 139
69+76, 145
69+80, 149
69+90, 159
69+94, 163
69+96, 165
70+0, 70
70+10, 80
70+13, 83
70+14, 84
70+15, 85
70+21, 91
70+29, 99
70+31, 101
70+39, 109
70+49, 119
70+59, 129
70+65, 135
70+69, 139
70+72, 142
70+75, 145
70+79, 149
70+84, 154
70+89, 159
70+93, 163
70+99, 169
71+6, 77
71+9, 80
71+19, 90
71+20, 91
71+31, 102
71+38, 109
71+48, 119
71+58, 129
71+64, 135
71+68, 139
71+71, 142
71+72, 143
71+74, 145
71+78, 149
71+88, 159
71+91, 162
71+98, 169
72+3, 75
72+9, 81
72+18, 90
72+19, 91
72+27, 99
72+29, 101
72+30, 102
72+37, 109
72+47, 119
72+49, 121
72+57, 129
72+67, 139
72+70, 142
72+77, 149
72+82, 154
72+87, 159
72+92, 164
72+97, 169
73+8, 81
73+18, 91
73+25, 98
73+28, 101
73+29, 102
73+36, 109
73+46, 119
73+48, 121
73+56, 129
73+66, 139
73+70, 143
73+76, 149
73+82, 155
73+86, 159
73+89, 162
73+92, 165
73+96, 169
74+11, 85
74+17, 91
74+24, 98
74+27, 101
74+28, 102
74+35, 109
74+45, 119
74+47, 121
74+55, 129
74+65, 139
74+75, 149
74+85, 159
74+89, 163
74+95, 169
75+10, 85
75+16, 91
75+23, 98
75+26, 101
75+27, 102
75+34, 109
75+44, 119
75+46, 121
75+54, 129
75+64, 139
75+70, 145
75+73, 148
75+74, 149
75+84, 159
75+87, 162
75+94, 169
76+15, 91
76+22, 98
76+25, 101
76+26, 102
76+33, 109
76+43, 119
76+45, 121
76+49, 125
76+53, 129
76+59, 135
76+63, 139
76+66, 142
76+69, 145
76+73, 149
76+77, 153
76+83, 159
76+86, 162
76+87, 163
76+93, 169
77+14, 91
77+21, 98
77+24, 101
77+25, 102
77+32, 109
77+42, 119
77+44, 121
77+52, 129
77+60, 137
77+62, 139
77+65, 142
77+66, 143
77+72, 149
77+77, 154
77+78, 155
77+82, 159
77+86, 163
77+92, 169
78+13, 91
78+20, 98
78+23, 101
78+24, 102
78+31, 109
78+41, 119
78+50, 128
78+51, 129
78+61, 139
78+64, 142
78+65, 143
78+71, 149
78+81, 159
78+86, 164
78+87, 165
78+91, 169
79+6, 85
79+12, 91
79+23, 102
79+24, 103
79+25, 104
79+30, 109
79+40, 119
79+46, 125
79+50, 129
79+60, 139
79+63, 142
79+64, 143
79+70, 149
79+88, 167
79+90, 169
80+0, 80
80+11, 91
80+19, 99
80+21, 101
80+22, 102
80+29, 109
80+39, 119
80+49, 129
80+59, 139
80+69, 149
80+79, 159
80+82, 162
80+83, 163
80+89, 169
80+99, 179
81+10, 91
81+18, 99
81+20, 101
81+21, 102
81+28, 109
81+38, 119
81+48, 129
81+58, 139
81+64, 145
81+68, 149
81+78, 159
81+81, 162
81+82, 163
81+88, 169
81+98, 179
82+3, 85
82+8, 90
82+17, 99
82+19, 101
82+20, 102
82+27, 109
82+37, 119
82+47, 129
82+53, 135
82+57, 139
82+63, 145
82+67, 149
82+72, 154
82+77, 159
82+81, 163
82+87, 169
82+97, 179
83+8, 91
83+16, 99
83+18, 101
83+20, 103
83+26, 109
83+36, 119
83+38, 121
83+46, 129
83+52, 135
83+56, 139
83+62, 145
83+66, 149
83+71, 154
83+76, 159
83+79, 162
83+86, 169
83+96, 179
84+7, 91
84+15, 99
84+17, 101
84+25, 109
84+35, 119
84+37, 121
84+45, 129
84+51, 135
84+55, 139
84+65, 149
84+75, 159
84+78, 162
84+79, 163
84+85, 169
84+95, 179
85+16, 101
85+20, 105
85+24, 109
85+29, 114
85+34, 119
85+36, 121
85+44, 129
85+54, 139
85+60, 145
85+64, 149
85+78, 163
85+84, 169
85+94, 179
86+15, 101
86+23, 109
86+28, 114
86+33, 119
86+35, 121
86+43, 129
86+53, 139
86+59, 145
86+63, 149
86+67, 153
86+73, 159
86+77, 163
86+83, 169
86+93, 179
87+4, 91
87+6, 93
87+8, 95
87+14, 101
87+22, 109
87+32, 119
87+34, 121
87+40, 127
87+42, 129
87+52, 139
87+60, 147
87+62, 149
87+66, 153
87+67, 154
87+72, 159
87+76, 163
87+77, 164
87+82, 169
87+92, 179
88+3, 91
88+9, 97
88+13, 101
88+14, 102
88+21, 109
88+31, 119
88+33, 121
88+40, 128
88+41, 129
88+51, 139
88+59, 147
88+60, 148
88+61, 149
88+66, 154
88+71, 159
88+77, 165
88+79, 167
88+81, 169
88+91, 179
89+1, 90
89+2, 91
89+14, 103
89+15, 104
89+20, 109
89+30, 119
89+32, 121
89+40, 129
89+50, 139
89+59, 148
89+60, 149
89+78, 167
89+80, 169
89+90, 179
90+0, 90
90+8, 98
90+11, 101
90+12, 102
90+13, 103
90+14, 104
90+19, 109
90+29, 119
90+39, 129
90+49, 139
90+52, 142
90+53, 143
90+59, 149
90+64, 154
90+69, 159
90+73, 163
90+79, 169
90+89, 179
91+10, 101
91+18, 109
91+28, 119
91+38, 129
91+48, 139
91+54, 145
91+58, 149
91+68, 159
91+71, 162
91+74, 165
91+78, 169
91+88, 179
92+3, 95
92+6, 98
92+10, 102
92+11, 103
92+17, 109
92+27, 119
92+37, 129
92+47, 139
92+51, 143
92+57, 149
92+67, 159
92+77, 169
92+87, 179
93+8, 101
93+9, 102
93+10, 103
93+16, 109
93+26, 119
93+36, 129
93+46, 139
93+56, 149
93+66, 159
93+76, 169
93+86, 179
94+8, 102
94+9, 103
94+10, 104
94+15, 109
94+20, 114
94+25, 119
94+35, 129
94+45, 139
94+55, 149
94+60, 154
94+65, 159
94+68, 162
94+75, 169
94+85, 179
95+7, 102
95+8, 103
95+9, 104
95+14, 109
95+24, 119
95+26, 121
95+34, 129
95+44, 139
95+54, 149
95+58, 153
95+68, 163
95+74, 169
95+84, 179
96+6, 102
96+13, 109
96+18, 114
96+25, 121
96+33, 129
96+43, 139
96+53, 149
96+54, 150
96+57, 153
96+63, 159
96+66, 162
96+67, 163
96+73, 169
96+83, 179
97+1, 98
97+4, 101
97+12, 109
97+17, 114
97+24, 121
97+32, 129
97+42, 139
97+48, 145
97+53, 150
97+56, 153
97+57, 154
97+66, 163
97+72, 169
97+82, 179
98+11, 109
98+16, 114
98+23, 121
98+31, 129
98+41, 139
98+47, 145
98+49, 147
98+50, 148
98+52, 150
98+65, 163
98+71, 169
98+81, 179
99+10, 109
99+11, 110
99+20, 119
99+22, 121
99+30, 129
99+40, 139
99+42, 141
99+46, 145
99+48, 147
99+50, 149
99+51, 150
99+58, 157
99+60, 159
99+70, 169
99+80, 179
